subsite_store,shipment_state,total,currency,bill_city,bill_zipcode,bill_country_iso_name,quantity,completed_year,completed_month,completed_day
Klippkungen,shipped,1424.0,SEK,Öxnevalla,51997,SE,1,2019,12,27
Klippkungen,shipped,325.0,SEK,Angered,42443,SE,1,2019,12,2
Klippkungen,shipped,415.0,SEK,Södertälje,15168,SE,1,2020,1,9
Klippkungen,shipped,563.0,SEK,Hova,54831,SE,2,2019,12,27
Klippkungen,shipped,371.0,NOK,Lyngstad,6493,NO,1,2019,12,2
Klippkungen,shipped,227.0,SEK,Ånge,84133,SE,1,2019,12,4
Klippkungen,shipped,344.0,NOK,Hegra,7520,NO,1,2019,12,3
Klippkungen,shipped,337.0,SEK,Skövde,54165,SE,1,2019,12,3
Klippkungen,shipped,545.0,SEK,Landvetter,43891,SE,1,2020,1,29
Klippkungen,shipped,654.0,SEK,Vällingby,16247,SE,1,2020,2,3
Klippkungen,shipped,358.0,NOK,Ellingsøy,6057,NO,1,2019,12,5
Klippkungen,shipped,315.0,NOK,Ålesund,6006,NO,1,2019,12,6
Klippkungen,shipped,403.0,NOK,Sauda,4200,NO,1,2019,12,8
Klippkungen,shipped,574.0,SEK,Lindesberg,71193,SE,1,2019,12,10
Klippkungen,shipped,724.0,SEK,Huddinge,14149,SE,1,2019,12,10
Klippkungen,shipped,299.0,NOK,Evje,4735,NO,1,2019,12,12
Klippkungen,shipped,1178.0,SEK,Umeå,90361,SE,1,2019,12,12
Klippkungen,shipped,391.0,NOK,Stavanger,4029,NO,1,2019,12,14
Klippkungen,shipped,1023.0,DKK,brønshøj,2700,DK,1,2019,12,14
Klippkungen,shipped,910.0,SEK,Halmstad,30591,SE,1,2020,1,23
Klippkungen,shipped,910.0,SEK,Halmstad,30591,SE,1,2020,1,23
Klippkungen,ready,1905.3,SEK,Mariestad,54294,SE,1,2020,1,19
Klippkungen,shipped,454.0,SEK,Kumla,69273,SE,1,2019,12,16
Klippkungen,shipped,198.0,SEK,Ronneby,37236,SE,1,2019,12,16
Klippkungen,shipped,346.0,SEK,Kumla,69273,SE,1,2020,1,30
Klippkungen,shipped,374.0,NOK,Dolmøy,7252,NO,1,2019,12,16
Klippkungen,shipped,168.0,SEK,Helsingborg,25247,SE,1,2019,12,17
Klippkungen,shipped,246.0,SEK,Piteå,94472,SE,1,2019,12,18
Klippkungen,ready,397.0,SEK,Ramnäs,73060,SE,1,2019,12,20
Klippkungen,shipped,302.0,SEK,Grums,66434,SE,1,2020,1,10
Klippkungen,shipped,217.0,SEK,Västerås,72592,SE,1,2019,12,18
Klippkungen,shipped,744.0,SEK,Kristianstad,29138,SE,1,2019,12,19
Klippkungen,ready,962.2,SEK,Vimmerby,59838,SE,1,2019,12,19
Klippkungen,shipped,497.0,SEK,Askersund,69633,SE,1,2019,12,20
Klippkungen,shipped,894.0,SEK,Saltsjöbaden,13342,SE,1,2019,12,25
Klippkungen,shipped,445.0,SEK,Göteborg,41875,SE,1,2020,1,31
Klippkungen,shipped,871.0,SEK,Vingåker,64331,SE,1,2019,12,28
Klippkungen,shipped,506.0,SEK,Enköping,74532,SE,2,2019,12,29
Klippkungen,shipped,306.0,SEK,utö,13056,SE,1,2020,1,6
Klippkungen,shipped,565.0,SEK,Säffle,66133,SE,1,2020,1,26
Klippkungen,shipped,486.0,SEK,Ramnäs,73060,SE,1,2020,1,16
Klippkungen,shipped,840.0,SEK,Helsingborg,25460,SE,1,2020,1,13
Klippkungen,shipped,2048.0,SEK,Ramvik,87016,SE,1,2020,1,6
Klippkungen,shipped,516.0,SEK,Silverdalen,57751,SE,1,2020,2,6
Klippkungen,shipped,475.0,SEK,Sölvesborg,29433,SE,1,2020,1,8
Klippkungen,shipped,510.0,SEK,Sundsvall,85730,SE,1,2020,1,9
Klippkungen,shipped,376.0,SEK,Vansbro,78633,SE,1,2020,1,14
Klippkungen,shipped,509.0,SEK,Skurup,27431,SE,1,2020,1,24
Klippkungen,shipped,999.0,SEK,Trångsviken,83596,SE,1,2020,1,11
Klippkungen,shipped,644.0,SEK,Nossebro,46593,SE,1,2020,2,3
Klippkungen,shipped,1101.0,SEK,Åsele,91931,SE,1,2020,1,12
Klippkungen,shipped,625.0,SEK,Stockholm,11134,SE,2,2020,1,14
Klippkungen,shipped,317.0,SEK,Orsa,79432,SE,1,2020,1,14
Klippkungen,shipped,366.0,SEK,Ingatorp,57031,SE,1,2020,2,4
Klippkungen,shipped,351.0,SEK,Hagfors,68332,SE,1,2020,1,16
Klippkungen,shipped,542.4,NOK,Etne,5590,NO,1,2020,1,22
Klippkungen,shipped,213.0,SEK,Vännäs,91132,SE,1,2020,1,18
Klippkungen,shipped,754.0,SEK,Hägersten,12935,SE,1,2020,1,19
Klippkungen,shipped,466.0,SEK,Gustavsberg,13440,SE,3,2020,1,27
Klippkungen,shipped,326.0,SEK,Östersund,83176,SE,1,2020,1,20
Klippkungen,shipped,393.9,SEK,Skoghall,66330,SE,1,2020,2,1
Klippkungen,shipped,337.0,SEK,Fristad,51335,SE,1,2020,1,22
Klippkungen,shipped,2919.0,SEK,Djurhamn,13973,SE,10,2020,1,22
Klippkungen,shipped,179.14,EUR,Tampere,33340,FI,1,2020,1,22
Klippkungen,shipped,179.14,EUR,Tampere,33340,FI,1,2020,1,22
Klippkungen,shipped,367.0,SEK,Borlänge,78434,SE,1,2020,1,22
Klippkungen,shipped,1723.0,SEK,Saltsjö-Boo,13240,SE,1,2020,1,25
Klippkungen,shipped,1729.0,SEK,Östansjö,69493,SE,1,2020,1,23
Klippkungen,shipped,500.0,SEK,Grästorp,46796,SE,1,2020,1,25
Klippkungen,shipped,606.0,SEK,Jörn,93694,SE,1,2020,1,25
Klippkungen,shipped,381.0,NOK,Bodø,8012,NO,1,2020,1,26
Klippkungen,shipped,744.0,SEK,Gustavsberg,13440,SE,5,2020,2,5
Klippkungen,shipped,327.0,SEK,Ulricehamn,52334,SE,2,2020,1,27
Klippkungen,shipped,714.0,SEK,Sala,73330,SE,1,2020,1,28
Klippkungen,shipped,347.0,SEK,Munkfors,68431,SE,1,2020,1,29
Klippkungen,shipped,327.0,SEK,Sollentuna,19145,SE,2,2020,1,30
Klippkungen,shipped,317.0,SEK,Svedala,23394,SE,1,2020,1,30
Klippkungen,shipped,526.0,SEK,Våxtorp,31298,SE,1,2020,1,30
Klippkungen,shipped,4312.0,SEK,Stockholm,11359,SE,1,2020,1,31
Klippkungen,shipped,70.1,EUR,Vaasa,65350,FI,1,2020,1,31
Klippkungen,shipped,1330.0,SEK,Västerås,72477,SE,1,2020,2,1
Klippkungen,shipped,1330.0,SEK,Västerås,72477,SE,1,2020,2,1
